video_id,final_views
MAlSZsfiARw,2040
LT0k6grHo9Q,5948
O9GDGHopNYs,6036
XGTHlLqMxuQ,2518
W-oOIG_57XU,90320
CwEEyLbiMVk,10602
gUEyoJfPQnM,7655
usrOkRw9arI,21730
4h4b7lf7ZgA,282937
rnYGdfCALxM,3856
sn0DaOB2NDk,14618
iz4MbCiMKJE,729
AgHWi2XP5yI,1047
nRv6oah7lx0,1395
b050VMDdNBM,30
HaaycE57jnY,22962
Gv1FazYBIj8,8869
wSiREW-yYpM,3205
6dqrxzj5wMM,8351
gLZD8S8hznQ,2226
apUvr0-zQNI,3750
8A-C5xd-brA,1537
J4IAWogFs20,2314
z_SlBRmVcSY,8624
vwkyfHm4wLs,72621
zojM20weFwE,24
oCeIgXCkUJw,34126
wsdPthu_In8,2225
H93Mi_Io2yg,168
u7K2EJL6O2Y,20688
phlQTllrSsY,4087
Ef02GBpx9Kk,118588
e2Z1LqTLoGg,4887
y6A_DhzSp7M,21959
IIC6XtVOzOM,49058
yLS8ZlnMdGU,1798
p60u7KrvtZA,464
S1RNFQBxIGk,5114
sDhLdDbiqpY,7133
cVzo6Ncyc5w,1684
CpWN-H4Kj_g,284578
d1FsMwbLVi4,15043
dqJijWyR-0Q,243
8zSwn0dFs1o,5220
-A2uCK2elAU,7021
pnsbfmo937o,34282
_TIwlbbOxOM,5126
bR6u09sawBU,11685
K3akJ6o_IgI,5043
uIH8Gq7La7M,4062
gWQAiys6MH0,4541
4g46aRbfaF0,26860
nJCe-L_fatA,30957
n-XrA7y8zc0,27910
llhsf5vL-7Q,11787
H88GpuZ-N0k,170977
UI068VWZHYE,859
6CXP2RW1Sy0,260
ct53g8Nzebg,14395
Ti-tWoGc6yY,18004
6PGpru028aw,17026
Cd64b6qVjO0,3561
M2SEPzBR2Tg,9391
nDD6JOqxQnY,39628
7r2mlswbp1s,393207
CRpqetQb7xw,2651
tN_UU8qkm-s,8718
QmMApseCS_g,36463
lTmp84rnOiI,9177
uNbeyI1Nb_U,148514
8cbvbmH87tg,3193
nl30Li_ZOZA,870
njH4Zbh8DaA,4307
-hBHGfjbJtA,1166
AUeBb33yevU,3029
YfAwUdaQEGk,1521
KMeJT875aHk,114928
nEeG69VGV10,32335
Qfp9Y2wXKCQ,5384
dSo6_E1a_mw,37917
qCD5TErXIL8,55319
st1CGrq1y5Y,14237
oebbixZZCws,50663
l9d7aWGzZx8,14994
vQSebrseDwg,6531
ZCGx0SWzg7U,1496
tYovdGPUaEI,35151
-jZzreuEAGM,12031
HoRjZ5v6x_c,153766
bTryFZ93H5o,778
ZAW0i1XQWwE,31016
y5_EvihDJ4c,110
LsnWIbVgZ3s,7174028
VKCVxnK-Noo,57096
fYq4vxRVJog,25045
vbfqtJ7KhG4,37998
8cRUZE7WGFs,21779
kKbjGondA8A,1627
TUwUvj121KQ,107827
ViVV5IxP-_g,24902
5SdtgDqQF68,579689
60uBNMKljGg,1599
V18ptyb_BGM,30950
AIrOMxhBlsw,186748
SIxpxeaxa1k,6309
5W2vUhUE0vw,120272
aukDIMnn-30,579
AQwI3NlLtGg,25279
mpen5qOFiGA,8363
OEMvnwsE_DY,41360
tKEhMd7eCCc,46619
_llCtWgom9I,198635
qyJuXc25CsY,1230
Oq35XBJvUqg,346615
8Vx-Bog6uNQ,1073
MeWHAYH_Udo,10564
qXQr8mYVi2s,18645
A9VDBrrxblo,44696
emXCdRrUWi0,2424
mFLr8iffNeo,5499
sAX_aHWMAcw,2294
2XHPAnR51Mg,32337
Chn2dgbizVE,30887
-qGqagAMt_Q,3394
teUhyeTi1nE,65
DpfRCtOyogo,24707
_AulS_zIewc,29431
ED62M18FLGA,51788
SUk1z7vjFxw,1317
WTbPfyKOKbI,1366
ppKaLW4YVhg,16531
L07iY8ygE3E,66551
X4KDdMwQNeg,2862
NkG9tBXQR_o,2839
6b74oSmf7oo,48159
qEEVvBzI77I,1861
_Ya3PqHaRis,26935
dOGJKjuO58E,477
