video_id,hour1_views,hour1_likes,hour1_comments
I7hOdT0pIEY,155,11,1
QrL9fhJ6aGY,579,0,0
HSAnyaawQDo,731,71,4
vrKvsD47s8k,719,50,2
Ga1wegi4nJc,487,14,0
hVCr6r_z5sA,4557,262,4
j9uHdsu8AuU,4476,281,2
3XYpECSFz_s,1203,0,0
Q0BmPXzp-7I,384,10,0
J0lmcdCszTM,78,15,1
nM9yqPlk-Qc,331,9,0
PzcZfw6AqA0,299,43,9
cnvXm_vUcpw,124,7,3
4pHHPMgINww,577,11,0
YCb2cRKvorY,1965,10,0
I8T9VHnThlc,4590,442,0
pV-O2E9exLY,738,18,0
1ppdzjmv_AE,565,8,0
qWd7uIBJyoI,581,16,0
_Mh2NI2jrOw,2588,0,0
GGnLYDwy2Nw,851,57,6
_oaKpM1dEuI,128,25,7
GstPioDmhTA,24835,8275,70
p50WHFepmq4,750,4,0
R_GLNPRPMVg,277,791,31
HYo1vTr6IUg,3602,94,0
qbSsGHYN9iE,2519,0,0
ZWsV2r90AWQ,96,0,7
p-6vzVoafEc,1717,0,6
Yhssr46QB4U,3782,340,16
j2DEi7Wg-kk,5058,174,0
MSLJMuITHrA,904,73,3
JblR0F6Gfbs,447,8,0
jzPMA-rUSXE,930,100,23
gpZsanbUYW4,371,13,0
b9oll5ce9yk,758,29,0
tSCBMks9OGw,726,0,0
rLUcnscTMIM,930,104,2
jVKD3nzo45A,378,87,9
X3KMf9R4cVk,413,4,0
rOEfi8nEKuo,631,23,0
wihy5eu8Awo,770,27,0
MNGDSu0mQpc,25570,6477,90
VqUYwsCatfs,2437,271,5
saw9tS_rjdw,1793,43,2
D35aofSFmxA,587,11,0
fqDlpHtmjgg,818,16,2
j1jSv9bUA1I,1214,37,18
JGF-RJGvIvM,968,84,2
HeLIE8BtIEY,333,5,3
tGNWR4gLkgc,966,10,0
8njFFHOY8V4,299,36,7
_FIasTIrCYE,917,24,5
RPHIyZwm3gc,587,30,1
V1yiP0DvD7w,470,24,3
N9MCLh2BqM0,312,6,0
aJJPtcoTnfg,372,0,0
3-K94ZsMbP4,270,6,0
yF9FqIc4gkQ,505,5,0
V9-6wdvvi9I,618,16,3
qfnTufyOiOg,336,10,2
JjNejCnvxGo,423,124,14
GsqyuHAsxDY,470,2,0
JJt5aotKXLM,363,0,0
gCbhfxGRy3c,5435,123,2
YNzlCsjl9kU,798,3,0
Cuk7kBOPNsU,383,27,0
u3Fq4smNTBY,255,20,3
OpKYoRu8f_s,244,7,1
X4Js2LWVCwE,200,19,0
sHR2RYvV0is,1362,41,2
l96kKVu8JgY,1029,10,0
m_6FzTNWh04,1368,34,0
Oa1_qB5SqJ4,8861,245,11
ggP9uCaNX3U,2186,59,3
OEiiwwXVCso,1645,55,0
OolbIzW42eI,1596,304,0
Nlhk_dJRjZE,1040,62,9
rFP-069EzrU,2434,33,0
JUg728Oy3J0,416,90,0
yFsvNVlaIho,614,46,1
rac2XSSH14s,792,33,1
VeZYiYMK2vY,1417,41,0
rN1mekcpQFE,416,12,0
KimtiBc2pTg,645,144,28
iLcolhs9X78,338,26,4
rQtCMjLnfD8,817,237,15
TtUCQYxj0To,814,112,38
CVhLyWG49EM,1240,185,20
58QxyKiJ1p0,436,194,15
PatxiYJZoOk,1604,315,38
Nth4I-H4PTs,2035,134,1
_BWSk1Cgs7Q,100,12,2
nWNCSx5XDW0,933,19,0
IHM48wMTjGI,434,2,0
QcuoYD9wzdw,107,1,0
E8ytPUoA5a4,2088,128,16
gkSnU-eOlc4,649,70,23
NUX8LuEInY8,686,7,0
-hXwhKO_nqk,0,0,0
FTUc8Xyy5k0,91,7,2
b5MCklgcJb0,153,7,3
cV4M1PbAyCY,173,5,0
IL6YJaIihIQ,172,81,10
NQ9mEGYDaXg,4893,324,8
v5oum45hJFA,1075,56,11
wQzkyDrVNVc,1279,138,12
NMkc6KWoLSs,229,11,1
nj2YscM3cwg,86,0,0
Uj5-ZTQ2hy0,509,45,9
Gnk8WBYcVh8,747,116,15
rEbZzviT0Vo,1253,4,0
4qquvuOQZwo,118,43,16
IPooCK4sny4,322,79,0
68tK-w7mEKw,4537,255,21
mN0R5qidzQA,98,22,2
qvwMN8D0mlo,2426,22,2
PgllEhHpkKE,1532,28,1
GUmv4XI_TrU,236,4,0
QmtYD-OO46Q,2888,278,28
iNLrBkpS64k,240,4,1
l_vldqJz09Y,307,6,0
2CRIGVZSzwc,828,37,1
0YWloD119Wo,299,15,6
4en5U4rfDk0,3170,252,11
szcUcy20QWA,539,28,2
5qXvvvqTxzI,317,3,0
Bdc6gO_80_Y,5314,770,7
sE_6hcr2qMQ,783,109,3
SdCe-LgzQgg,436,21,0
XkFroY7O5VE,2647,18,1
YjM0cQHNxAE,1120,157,3
45VgV774vlU,413,40,0
ydpHk_2s3CU,301,12,1
2NiKvXucONc,1429,44,3
qM7hGPE392w,612,12,0
_96eyaq-yAM,1125,272,25
HO8IzzyQyG0,261,6,0
0-gyIlVDTqY,263,4,0
hloPJqWDkQQ,67,22,15
I4HMz-W39i4,1130,0,1
2KTtAxKRDxM,725,20,2
_TRm-I6RW3o,335,5,1
sMU78KQu-uI,0,0,0
BT9m6CiwgEg,782,17,0
XXOdcAOqg_4,1025,79,27
drU4en97spQ,665,60,4
lxhYDw5cbvM,4,0,2
O9PuRwaLijk,553,3,0
_a2WoP7IprE,2829,294,5
KMAOr_TQCOw,653,44,2
